,Sentence
5486,great casual shoes
3494,very comfortable
7878,a fine budget shoe
3097,very uncomfortable and felt no support in them
3791,excelente
884,cute but no support at all
5821,don’t waste your time
6493,bulky but light
4804,very confortable
4375,my go to running shoe
4921,comfortable but cheap junk
762,hurts my leg
4605,i am blown away
8080,tough rugged stylish and comfortable
814,where s the foam
4487,great shoes for running
2868,great shoes
3333,not comfortable
5733,too small and narrow at the opening
5985,couldn t even put it on
2105,excellent
6698,runs small
7069,awesome
6508,not as the description states
8611,fits smaller than the gel
6930,was not true to size
900,did not like the gaping shoe opening
542,confused
4449,best version of ghost so far
2146,good looking shoe
1286,so comfortable
2224,quickly worn out
2598,my terrible feet love these shoes
4517,number one sneaker
4936,comfortable shoe but not going to last
163,cute and comfortable
2448,better than expected
138,snug with little give
3713,about this product
4000,not worth purchasing
1279,a great shoe
725,not structured enough
2266,not true size
433,good for errands around town
3837,nice sneaker and great fit
8172,nice confortable and just as expected
3111,comfort during running
7933,what can i tell you
4070,great look and fit but impossible to clean
3329,not the greatest
6260,what can i say it s under armour
213,best sneaker i have ever had
5707,they re okay for high arches
665,felt cheap unsupportive
5469,i did have to go up a half size in this shoe
2310,not wide
8198,asics are great shoes
6918,not true to size
5409,comfort
351,super comfortable and breathable
5944,size
3042,they are too short i’ve never had this experience with asics before
993,great shoes for multiple functions
3774,great buy
4264,take a larger size
3642,love this shoe
3604,keep those grandkids happy
7024,great shoes especially when you re on your feet all day
7536,watch for glue stiching
2279,decent shoe
529,fine for running to the grocery store but not actual running
651,poor quality
3689,excelente
7482,holes in toes within weeks
2831,great sole support with wide width size
1749,very comfortable
8491,not enough cushion for me
1178,comfortable
6300,great shoes that fit well and looks great
3023,fit
5034,ghost wide is too wide for me
7441,happy
1682,one of the most comfortable shoes i ve ever had
8457,must be fake
1229,comfortable
19,survived days at disney world
913,do not recommend
6102,awesome sneaker
3214,they hurt my toes
8582,comfortable for the price
1526,poor design
3907,get a larger size
336,cute little shoe
3475,better than i could ve hoped
3554,really comfortable and stylish
1688,purchased the new balance men s v cushioning running shoe for exercise walking
6981,opening the seam
2750,nice looking and comfortable
8251,great fit but terrible shoelaces
6927,comfortable but lacks support
3362,perfect for everyday use
7031,perfect stylish light weight shoe
6944,product does not have any support and collapses into the arch after less than months of use
3000,uncomfortable
2603,perfect for plantar fascitis highly recommend
3578,very comfortable
1495,tread is already peeling off the sole
1088,comodidad
4654,comfortable
6432,would buy again
6418,running shoe
5031,normally love the brand but these shoes broke down very fast
6350,one of the best
6297,good shoe some minor issues
7550,not as expected
186,love these shoes
4545,good running shoes
4025,sized big compared to nike sneakers
3347,i m very active in the gym these sneakers are not it
8690,avoid
6500,the inner sole is flat definetly not a running show
7265,so comfy
1287,great value
7490,definitely not worth the price poor design
8071,recommend by my foot doctor he said this is the only shoe he allows patients to wear
4819,great sneaker
3968,arch lacking support
8441,bad fit
3961,these have been worn times a week for the
2309,size is not real
4356,the shoe to take a stand against dad bod
7571,i got two left shoes
8139,good value for the money
2278,men’s x wide not exactly
1016,high wuality
4543,well fitted and comfy
1187,comfortable
7057,amazing nikes a for comfort check around for best price amazon might not be it
7322,thanks
2905,shoes only lasted weeks
5564,bought a second pair and wear literally every single day
8110,comfortable well made shoe
1188,and the beat go’s on
3420,like the shoe repeat buyer size small to other shoes
5432,comfortable and cute
2486,i love the gel venture shoe
5353,most comfortable shoe i own
3183,too small and too late to return
4968,hard to beat
2082,works for me
8556,a bit small
8453,looks good
3225,no arch support uncomfortable
7162,comfortable
4492,so far great
1259,good quality
2751,great alternative to asic nimbus
5028,comfort
5213,nice looking sneakers
1756,great sneaker
6710,looks good but isn t comfortable
5423,comfortable cute
5111,cute and comfortable but the heel slips
7908,these ain t heavy clod hoppers
729,not sure these are legitimately adidas cloudfoam
8035,great shoes
7251,so comfortable
105,for light work outs not running or long distance walking
4687,great running shoe
5910,they are wide enough but run short
4622,look and feel good today but will they last
7864,exceptional walking shoe
3155,wide w or
8571,poor quality
2982,not fitting well
1988,great shoes
8271,nice shoes but too roomy
5778,not as pictured
8659,fell apart
3926,fit feels tight yet slips off
2540,great for the price for a year old runner walker
575,not true to size
3781,satisfied customer
5507,love these
361,so light
5485,amazing shoes
2560,asics are it for a wide athletic shoe
3123,disappointed
930,no support
364,great support but buy half size larger
1666,foot size is eee
4967,not the same quality as my first pair
4187,not so great for price
6570,why would they put suction cups on the heels
7943,love these asics
7199,good qaulity and nice looking
5886,just say no
3191,disappointed in them
7956,good for what they are made for
2799,great shoes except
166,dual function dope shoes
3964,it’s not for sports
5029,falling apart
6427,wicked comfy from the first wear on
939,comfy but not durable
5117,these are just the prettiest
8084,i like them
5807,running
4697,rd pair of ghosts
1489,broke my toe
2240,poor quality
7753,great running shoes
280,great shoes but not really for running
6477,ua sneakers
464,adidas clouds
3896,good look inferior build
4003,puma
2712,fit perfectly and they do not have any of the chemicals which cause my feet to burn
8620,too large and wide
6914,back of shoe too high
4119,small
5365,these run small
7766,good shoe
1091,best shoes ever
5625,these were used
5255,cute and comfortable
7027,nike shoe
1870,perfect fit
2152,this is not a running shoe
3348,great shoes just run small
5745,don t look how i hoped
2158,sole problems
1090,fits great
4345,seriously impressed
4282,too tight
8343,girly shoe laces
4840,way too small
8656,meh
1613,had a scuff mark
5717,comfort
6289,husband says the best shoes he has owned
477,comfortable and light weight
4842,do not buy uncomfortable
8674,not true to size order size bigger the wide width was good
5773,overall fit
6916,buy asics
6674,width is smaller than expected
8485,tight fit
4408,very comfortable shoe but do not hold up to wear and tear like i hoped
6491,comfortable
6884,won t buy
3419,amazing amazon price
1895,cushiony insole
3549,fits great on the wide foot man
7987,good shoe especially for wide feet
5793,i ve only wear my shoes for months and they all ready have a hole in them i m not happy
786,not my most comfortable tennis shoe
2463,feel good and supportive
7952,upgrade from the venture without worries
2504,good looking shoe but not like the s
1133,great
1094,comfortable
7955,decent shoe but more of a trail hiking show than a running shoe as somewhat clunky for running
1336,very comfortable
7160,shoes
3601,great shoes run narrow
5070,not a genuine brooks ghost
7484,low quality control
6425,works
2501,great shoe
1058,awesome shoe for under
8563,runs wider than advertised clothes cheaply made
7922,love love love these
167,pretty medium lilac pastel color
3489,good looking shoes
3828,great shoe
2584,great shoes
41,love
3894,last pair let me down
5764,wrong size
4103,no airflow
8377,awful most uncomfortable shoes i’ve ever owned
1872,están preciosos y súper cómodos
8390,great shoe but
2410,good cushioned walking shoe 👍
1263,exactly as expected
294,love these
7150,great shoe for daily use
3012,tore up my big toe and i m losing the nail
6221,fit perfectly
7732,size a bit long but worked out perfect
1939,buy this one
8684,wide in the toe
7367,quality sneakers
4303,three stars
6912,loop broke after weeks of light use
864,doesn t fit like a real adidas
3505,buy these shoes now
2706,yay wide sizes
5044,they came used the laces were chewed up
4507,comfortable narrow shoe
4047,my son didn t like this color
150,comfy and cute
6799,shoe sizing
6520,great shoe horrible cutomer service
148,super light and airy and sexy adidas shoes
4001,good shoe but poorly made as you can see in
3445,i ve tried them all and these the best but
6123,good value
6769,would not use for running
257,so comfortable
3267,the were terrible
8006,changed from new balance
6161,quality product
7716,great and reliable shoes for an affordable price
7681,these may be knock offs the grey
215,they re awesome
5603,toe box to narrow and uncomfortable to wear for long periods
7528,fits tight
8252,a little heavy a little stiff rock hard external heel cap
7448,works for me
5736,wears fast
4500,feels good
4033,buena zapatillas
1618,came used
204,love
2470,casual wear fine walking miles not fine
2020,excellent
7695,nope will not buy nike shoes again
5056,toooo big
1168,comfy well fittong shoe
7748,a great product from a great company
4700,great buy
1732,comfy and unexpectedly durable
1577,shoe frayed after months of use
1549,way too small
7693,one star
310,not made for wide feet
6098,comfy and perfect fit true to size
8549,knock off fake shoes
7718,great shoe for trails or walks
8036,just as expected
778,not a running shoe
999,excellent all around shoe
407,great sneakers
5331,not free returns
2491,very comfortable
4786,best fitting shoe
965,not much support
4694,great support
8433,shoes are defective
1265,great product
6263,weird but comfortable
2330,these are at least size smaller than they say on tag
4759,comfortable shoes
7258,good support
7503,not in original packaging
2726,fits perfectly and is so comfortable
1746,great shoe for a little biy
3019,not happy with color
3141,just don t care for these shoes
5907,small
7644,some sizes from rd party beware
4298,three stars
2677,feel great and fit great
2124,look good and feel good
5898,mismatched shoes in generic box
5,don’t run in these
1884,kid approved
1334,good product
8285,not the asics i ve come to expect
474,comfy and light
1143,there very comfortable
6166,fits extra wide foot great
8497,very uncomfortable very bad shoes
3504,great fit surprisingly active support
890,runs big
8405,hole in six weeks
4538,so far so good
155,best running shoe five stars ⭐️
7290,love them
4922,too small still love brooks though
8363,wide on bottom short on top
1190,wow i m really happy with these
404,love
338,awesome sneakers
2674,happy i made the switch
7669,don t waist your time
803,super cute but too tight for me
4787,comfy running shoes
7692,one star
345,just right
5981,they run short
72,great sneaker
5009,picture isn t accurate
2149,best fit yet
6387,super comfy
7112,perfect
5774,holes from mesh
5046,worst shoes ever
24,awesome style amazing exchange turnaround
4015,didn t last very long
2216,too small for comfort looks are deceiving
5847,decent shoe
4933,garbage save your money
8253,sole worn out after only months
3031,disappointed at best…
3671,ver hilo abajo
6697,talla pequeña
6928,uncomfortable
4946,poor stability
6025,great workout shoes
8668,less durable than previous versions
1719,i wear them everywhere comfort and durable
4802,great shoe
5734,i would prob pass these up
231,best shoes i have purchased yet
2571,snug but nice
2961,buyers regret
7566,beware not real nike
4251,small
7180,shoes
1737,great running shoe
6925,small made and squeaky
2816,comfort
7443,now mine
5367,great shoe
4078,runs small
3841,sneakers
135,must buy
320,super comfy and cute
7268,love them
6380,durable a tad narrow
1450,good fit
7573,pay attention to your order
3254,crack in the toe
4278,didn’t fit
5442,perfect for long shifts
7131,good
6651,comfortable but tread peels after a few uses
8590,not comfortable at all
8234,like wearing a wet rag
5955,caution these don’t hold up well at all
7179,good
2883,too short compared to my old asics gel venture
1845,perfection
1360,affordable and comfortable
5647,too narrow for wide fit
1998,product great amazon is the problem been
1550,he does not like tie shoes need to return
5114,great shoe
5375,pretty
1805,new balance great sneakers
1967,very comfortable
1858,very nice
4763,brooks ghost shoes
8678,poor quality
6281,i like this shoe very comfortable
8458,no arch support
7280,great buy
8230,it s a shoe
821,my wife was told by podiatrist to immediately replace
5000,bottom of the shoe started falling apart after months
3586,first puma’s
2839,comfy walking shoe
4480,very comfortable
1085,everyday shoes
1054,both my son in laws love them
4813,excellent allround footwear
33,great style thin for running but perfect for walking lots
2276,narrow toe box
5131,perfect cushion
6763,runs big
2946,too soon to tell
623,did not hold up
2858,great shoes
1228,great shoe
5407,great for heel strikers
5143,comfort at its best
4821,great fit and look
8124,shoes
7904,good shoe if you have orthotics back issues
589,not real adidas
7177,the shoe was too tight across the left toes
43,very cute comfy but not as much padding as expected
2147,satisfied individual
7047,amazon delivery driver
6009,material quality
4273,i will be returning for a refund
2663,great sneaker super comfortable for working out and walking
1433,great light weight shoe runs a little small
3815,puma mens taxon th running shoe
5439,great pair of sneakers great price
2635,sturdy shoe with good support
1166,worth the money
4656,great product as always with brooks
6887,ok for the money
6686,average shoes for the price
4979,very small and narrow
6721,not impressed
3692,me gustan
1487,narrow for e and stiff sole
4200,defective shoes
4858,painful
6095,great shoes and even better price
737,size up
5851,don’t purchase
7842,wide just as it states true to size
6348,better than nike
3605,not for sports
7243,love these
4162,two stars
157,super comfy but run large
1417,very comfortable
7648,ver small
4717,so light so comfortable
1928,super comfortable for picky feet
7606,very narrow
4771,bien
8072,satisfied with my purchase
2097,fit
2844,these shoes are like a hug for your feet
7241,most comfortable shoes ever
3413,what a beautiful shoe
1151,nice shoes like the previous version more
697,uncomfortable
2011,got exactly what i wanted when i wanted it at a fair price
678,if you have high arches be weary buying these
296,disney shoes
1195,comfort shoes
3800,definitely will buy again
7667,shoes are not true to suze
1751,great buy
793,no support blisters and bruising
3086,something has changed with asics shoes
4238,good
3195,no support at all
3393,a gift
4472,you changed the achilles support from the ’s to the ’s
454,perfect
6974,wears out very fast
2467,comfortable running shoe
7588,didn t know mauve was brown
5226,my favorite workout shoe ever
924,not adjustable no tongue laces just for looks
4321,puma
4429,great shoes
8543,i don t trust these
4118,nice for the price
4623,great for flat feet or bunions
3063,nothing to get excited about
2520,comfortable
6332,fits my wide foot
6282,awkward arch support
6178,crazy comfortable
2689,no arch support
7628,after two days a huge hole appeared
8300,not like other oasics
2068,great price
6067,perfect shoe for a hard to fit guy
564,super cute shoe but not suitable for running at all
4550,brooks neutral running shoes
5274,i love them
8421,no gel or arch support whatsoever
4651,great for large guys
5949,comodidad
8191,very comfortable sneakers
4923,make sure you are ordering correct gender
6189,light comfortable
6637,hard to break in
5502,liked them so much bought another pair
2305,buen precio
4267,tighter than expected
2951,pretty but disappointed updated review
5755,must have a wide foot
8423,poor fit
3889,more narrow than nike and new balance
6931,shoe fell apart in days
8284,disappointed
6618,had problems with these shoes
3624,excelente
2722,good comfy shoes
2253,poor insole padding and support
410,so comfortable
7045,light weight sneakers
2835,very comfortable shoes
1854,great shoe
7325,love
357,love these
508,not what you find in stores
6937,not shock absorbent at all
3085,short lifespan
7304,nice shoes
6994,love my tanjuns
5417,shocked that these didn t fit
2521,great find
8319,not very durable
1583,very uncomfortable
6029,comfortable and low key for office work
3028,wide width where
5124,so light and so cute
1413,great product
8353,not for xw feet
4154,fit isn t true to size
2024,comfort breath ability and reliability
1326,great product as advertised
208,great shoe
3125,not fond of how thick the soul is
6606,somewhat small
7465,khalid
5923,not enough support
4040,nice sneakers for the i paid
5312,great but for the money
1843,comfortable good fitting and look good too
756,fakes who knows shoes not the same as before
1723,best shoes ever
6167,good shoe so far
8254,horrible sneaker
5016,horrible quality
7049,comfort
1637,nada por el momento
4423,ran miles right out of the box
5900,a little disappointed
8466,returned these shoes
8180,great
5610,not true lace up shoe and very narrow
5062,poor quality but comfortable when the sole wasn t falling off
2623,the size of the tennis show and the color of asics tennis shoes
2627,very satisfied with the product
6638,very narrow shoe
5896,already coming apart and rarely are they worn
7223,product was as adverrtised
5130,the very best
3794,great shoes
3650,me gusta
3936,feels like they get thinner everytime i get new shoes
8560,great fit very comfortable
211,sneaker slipper
3145,too narrow…
6997,heavenly comfortable
4120,tight toes and no arch support
6124,fred flinstone feet
6227,tipo de uso
4999,torn shoe after five months
2761,perfect
7351,perfect fit and comfortable
596,something has changed negatively in the manufacturing or i got knock offs
4085,uncomfortable
6636,nice shoes but
12,this is a slip on buy it
6136,sturdy comfortable shoes for an active life
2299,don’t wear in the garden yard
1465,quality price can t be beat
928,do not buy
3043,disappointing
5155,buy them
5895,not sturdy
434,great for hour nursing shifts
182,perfect for my pregnant feet
8302,no arch support
2209,ok for
8325,fake shoes
5742,way tight and small
8675,buy with reservations
3801,perfect
6838,uncomfortable
7696,not true to size
2023,good shoe
2859,great price for wide feet
7670,one star
8336,not well made
5988,shoes are comfort but the material sucks
6653,defect in little straps that hold the laces
4445,love this shoe
5084,too narrow not a true e and they run small
5317,best shoes
5780,narrow
741,waste of money
5512,great jogging shoes
1572,was sent wrong style
1535,totally disappointed
5961,prime day disaster
1826,sooo comfortable
6675,extremely difficult to run with they are not comfortable
8262,not a good venture replacement
6218,great shoe for the price
1696,awesome shoes
4716,great support
2393,good looking navy shoe
7097,too tight for me
7916,running shoes
4695,discovered my footwear choice forever
7033,great all purpose shoes
8093,very comfortable shoes
2051,comfy shoes
8293,not as good quality product as i m used to from asics
6473,amazing shoe fit alittle small
4232,worn out in less than year
5232,love these
4567,great shoe
2245,no support
4248,ripped
5435,love these
2455,these shoes run small
8269,knock off
3923,received defective pair
6837,aggravation
5980,waaayy too big
3268,not a good comforting fit
6592,do not buy these for working out
2080,great shoe
7477,run small
5192,awesome shoes
2808,great for walking
7005,the best walking shoe ever made
4343,best running shoe
1582,i ordered them to be size which is my size but they’re too small they fight too tight
3352,shoe is too short i will be returning them
8340,defect in inside back seam asics sneakers
6973,defective pair
6358,excellent
7321,comfortable
3407,very nice my husband likes it
1347,great shoes
3182,good shoe
3054,the insole was glued in at an angle and the laces are cheap
8107,good shoe questionable shoestrings
493,if you want severe tendinitis these shoes are for you
2445,fantastic shoe
5137,third pair and loving these
8414,good shoe with cons
3944,if you value looks over comfort this is an excellent shoe
2421,not the best for a tall arch
4792,great shoe
6747,don’t buy save your money
7106,best shoes ever
7163,great shoes
3699,comfy when going for a walk
4166,dirty and worn look after a month
7146,great fashion sneaker for women
7504,looks great but not for long
7128,loved color
548,scuffed all around soles
4941,used
6284,wonderful shoes for a kid
1519,consider a larger size
6144,move up a half size otherwise great shoe
6414,good shoes
458,watch where you walk
7798,miracle pain free sneakers 🙏
2600,very comfy
326,so comfy and cloud like
4042,ouch
7951,summer kicks
7186,black nikes
6419,shoe is very good at keeping feet cool
4476,decent shoes
2700,still a great shoe
3319,great shoe
4399,wear these all day long
5903,not comfortable had to return
2900,poor quality
1284,great comfort
1789,love these sneakers
3005,hole in toe after only a month
1889,great shoes
8487,sneakers
4689,as good as they get
586,was so excited for these but they are blister city
3118,wish they were kinder on the feet
5315,super comfortable
891,not so great
3435,very comfortable
4236,too big
6355,perfect shoe
2709,good ascis shoe
6557,what s with the sizing
4701,very comfortable
3166,i love asics women s shoes but this particular gel venture shoe doesn t fit right
4214,not that good
1639,very thin rips easily after weeks the shoe has obvious signs of damage and ripping
1808,nice shoe but a tad snug
5978,not well made for the price
3493,great looking and perfect fit
2800,walking on water
4376,excellent shoe
6955,calidad precio
435,comfy for work
7434,lindos zapatos entrega rápida y segura
2327,too small
8222,i prefer the gel venture
2683,super cómodos
4606,great shoes for running
3499,they last for a long time
5392,works for my feet
7612,pay for comfort
3965,get what you pay for
1072,definitely order at least a half size larger
5706,just okay
5033,fake brooks
271,very comfortable
6614,horrible insole
3754,fit
8344,cannot remove the factory insole
2169,so uncomfortable that i had to throw them away
7557,missed the mark sent the wrong color
7424,they are so comfortable
1039,absolutely perfect fit and looks
6669,way too small very unhappy christmas
6059,good shoes but not good support
3584,shoes fit as described
7627,hate it
7586,falling apart
8160,comfortable running shoe
1040,nice shoe for short time
8569,cheaply made
1193,the fit is perfect they look good and are extremely comfortable
3121,very little cushion
5674,perfect to complete outfits but not for running
7188,comfy
1332,quality v s price
5133,great shoe
1760,great shoes comfortable and supportive
6566,not for running
4364,great training or race shie
7618,gave me the wrong shoe
7656,size equivocado
4949,two left feet received
5561,went up half a size love them
3509,excellent as always for puma
7677,no es lo que esperaba
2735,very comfortable
1399,nan
3046,more of rec shoe than work shoe
5168,comfortable durable shoe
4833,very poor quality
145,light stylish and comfy just a little big
8680,perfect
2849,worth the money
3070,not new
6977,quality online is expected when u can t go shopping
1378,excelente
5332,super comfy
2974,not great for trails
8228,debating if they re fake
3356,nan
5683,hole in toe
2262,falling apart in less than two months
4252,they come in small size
534,not as comfortable as i would expect for cloudfoam
1126,comfortable and perfect fit
4156,hurts both feet
971,loose fit
2357,order size up
3212,bought for arch support
6126,true to form
676,cute but bad quality
5261,comfortable no blisters
6384,comfortable with good support
4995,wide smaller then it then brands
4362,good daily trainer with some minor drawbacks
8657,asics hiking shoes good fit
7609,i would not recommend
489,super comfortable everyday shoe
2809,winner winner love them
1712,injury free running
4414,third pair of these won t be changing anytime soon
1156,grandson loves them
3392,amazing shoe runs a tiny bit small
6143,fits as expected great looking and support eyelet broke after th day
485,pleasantly surprised
5119,super comfy
4075,nice shoes i will consider buying a bigger size
4101,it hurts feet for the first several times warn
2505,nice looking shoe
2174,quality control issues
3180,not like venture
7498,soles de glued within months
8105,good quality and nice colors
4571,true e
4340,some of the best running or walking shoes you can buy
8224,went from a venture to a and all was is good initially
1655,nice shoes wrong size and color sent
2930,not happy
4102,shoes tend to be smaller than usual
65,love
2133,excellent fit
2602,great pair of sneakers for a great cost
5322,looks awesome feels awesome
1227,great product
3522,good so far
2069,love them
401,cute and comfortable shoes but lacking arch support
6726,ordered size they came in as size
7405,item was exactly as described
1644,returned after mile of walking
7590,these are women’s shoes
4795,good support light and very comfortable
5083,good shoes don’t hold up
4955,narrow or bad heel design
6367,comfortable shoes
4544,great shoes
8634,sent wrong color
7415,que está mejor que en foto y muy buena calidad
7925,excellent shoe excellent quality excellent value
4674,miles of comfort and support
2280,not enough padding for comfort
5659,fake shoes
3455,great general gym shoe
3619,for running and great fit awesome price
3779,know your size
6145,wonderful shoe
2400,narrow shoes order wide if you have medium feet
3052,questionable
3172,not great for plantar fasciitis
4167,too large
2701,awesome shoes
6879,keep on doing what you doing you make a good product
4994,not worth the money
6021,they did not disappoint
5710,nice 👍 but narrow
815,might as well walk barefoot
8601,order larger size
99,so comfy
122,light comfortable
5150,love
8078,excellent support fit and style
3090,poor quality
3712,perfect fit
459,comfortable cute
5216,so super comfortable to slip on barefoot and run errend
3577,more like a size
7685,dont buy
4479,very nice
7728,good in the past and still a good shoe
5120,these fit my wider foot
6410,enough cushion and very comfortable
7224,super comfy
1098,recommend
5796,had better nb
7733,decent sneaker for walking around
1806,perfect
2277,too small
948,runs big
3338,cheap memory foam at a high price
8438,meh
3100,not for me
1957,good value comfortable shoe for active people
1946,nice shoes they run small
1199,love these shoes
7296,four stars
722,uncomfortable but stylish
6492,great value
5156,not legit new balance
5368,buy them
199,daughter loves them
3916,uncomfortable and fell apart fast
1651,very narrow shoe need to be wider
3307,comfortable right out of the box
45,great for casual wear and weight training bad for running
5753,hard to put on if you have high arch
499,doesn t lace up it s a slip on
8221,size runs slightly small
3567,little tight
8424,quality control
7168,comfortable
5153,new favorite nbs
3849,nice looking shoe poorly quality
3786,they are very nice shoes after reading the reviews posted prior to
7353,buena calidad no pesan para los niños
4244,runs small
7524,very girlish looking
2989,to small
950,exposed stitching rubs at ankle
7373,five stars
1184,comfortable
5109,great sneaker
2061,good running shoes
6023,nice shoes
3129,not enough support
2776,quality and price
6729,was good at first
6096,very good for the gym
7998,asics men’s athletic shoes
7378,great sneakers
264,large fit but overall good shoe
3428,same as women s tazon less
6381,fits small
4744,great runners airy well constructed look good
5360,great for wearing all day
6240,best shoes ive ever had for two months
3807,love it
3073,wide fit is too narrow
4443,it squeezes your heels as you sit
7564,wear out fast
6153,“you get what you pay for”
951,do not buy zero support
5334,love these shoes
3886,ok but narrow and stiff
1,best shoes ever
832,support
5918,holes
4331,size is small shoe is somewhat stiff
2866,cool shoe
3596,the best confortable shoes
6051,once broken in a comfortable shoe
30,nice shoe
3461,i now own pairs of the puma tazon shoes
3160,made cheap
2018,perfect shoe
6351,great value
5889,cheaply made
94,best sneakers for hours
4552,super comfortable shoes
3553,pretty good
8496,small
3020,sizing is off
5471,absolutely love this sneaker
968,great style not so great support
6401,no complaints
378,good for working out
6257,
7774,worth every dollar
5768,i wish there was a way to tighten the la es and have them stay tight
7824,love my new favorite shoes
3337,very disappointed
256,i kept them but
2586,perfect fit
6899,cheapy
353,most comfortable shoes i’ve ever put on my year old feet
4145,too small
3793,so comfortable
7350,looks great
530,disappointed
6745,a bit rigid
4938,disappointed in my first pair of brooks
6026,fit and size
8685,wrong size i arrive size not the one requested
4111,shoes gave me a rash
3925,no lace hole in tongue
6437,extra wide shoes with same lenth laces
4185,look good but cheaply made
4672,great shoes
8022,nice running shoe at a good price
217,just what i wanted
4116,nice looking sneaker
76,three time s a charm
1001,after having issues with adidas
8368,one size too small
3598,great show
656,good looking shoe but fit didn t work for me
3252,runs too small
6265,comfortable and light weight
2120,great value comfort
4901,they will wear out quickly
101,shoes
2027,great fit light weight
3159,not for running distance
2458,great if you get the right size
2990,size wide is not wide at all
5180,great shoes for walking all day
4528,brooks ghosts
6262,comfort for a moderate price
3092,way too small
5892,hard to put it on your foot 🤨
8416,return process very poor and shoes did not fit still have not received funds
3733,love these pumas
1958,good value
7831,very comfortable…
3581,bonitos
4365,these are the best shoes for a bad back
5585,not great
2987,stiff and bulky
1264,stylish and comfortable
6303,look no further this is the one
5861,cheap
4299,somewhat loose
8483,started tearing after month
6595,insoles are not supportive and uncomfortable
4204,no parece original
5965,super wide
8027,great fit right out of the box
4122,wide width option needed
4049,tenis talla
1596,bueno
7547,run small
1122,super comfortable
7459,i love it
6011,fit great and they re not made by nike
95,love these shoes
5071,huge downgrade
4004,too small
3971,not comfortable while jogging
3634,great shoes
1711,awesome shoe s
830,prefer nike
767,look good but dont help foot pain from standing for long periods of time
5445,best bag for
4229,on my feet and a little tight but very nice
3161,changed shape and not in a helpful way
4561,attractive and comfy
8636,sizing not accurate
6035,wonderful
6452,great durable athletic shoes at an affordable price
4300,had to send back pairs of sneakers because of not exact size as claimed
1100,livianos cómodos
3095,wish i had tried them on first
1424,most comfortable shoes i ever had just bought a second pair
3495,these shoes pop
6404,great comfort for flat feet
5729,small toebox
5472,comfortable
8583,not for running
5336,only ok
1546,if you are flat foot i don’t recommend you those
1411,perfect design just comfort wasn’t enough
3034,run large
4982,falling apart
1827,really comfortable and happy with purchuse
7615,nice and light
2213,hard sole
5930,fair
5384,great sneaker for my flat feet
4281,wrong size
6547,if you love your feet don t buy these shoes
1461,they run a bit small
2765,so happy i bought these 👟
8289,cheapest pair of shoes feel like crap what happened ascics
7640,poorly made sneaker
8298,very uncomfortable
83,casual runner and lightweight comforts style love
7961,a bit small when ordering my normal size
5911,one size too small had to return it
3438,tight right
1471,not for me
806,knock off
6264,perfect for wide feet
8503,not as comfortable as you might think
2954,this is a poorly made shoe
8278,don’t buy from seller asics america corporation
3001,love asics but these are trash
3766,perfect fit wide
8341,mesh is not durable
3142,disappointing
5868,peek a boo holes
1022,very comfy
7936,comparable to merrells much more comfortable
4872,poor quality that tears with little use
8229,love the style hate the lack of heel gel
8347,one week and falling apart
730,not worth it
1820,perfect
8332,already delaminating
331,just wow
4032,look good but don’t feel great
4866,size doesn t run true to other like products
17,nursing shoes
1650,time sensitive
5528,runs small good arch support
7752,asics return to my feet after year absence
3372,you want a great shoe with style
7950,quality
8331,not comfortable
6334,light and comfy
2973,too narrow in heel
318,amazing adidas shoes
1798,last shoes you will ever buy
6575,will never buy again
315,these shoes are super comfortable
7862,ultimate dad shoe suck it nb
4294,fit
4869,poor quality
6043,comfortable shoes very happy with purchase
7700,son loves this shoe but the material rips so easily especially when you are paying that much for a
8672,innersole too thin could feel lumps
2246,it sure
2484,great for high arches plantar fasciitis
5836,i would not buy them unless i was looking for a slipper type shoe
6222,great for work or working out
973,foam sole is very thin
8225,absolute garbage
3909,great looking shoe but the fit is not right
8276,fail
6774,does the job but that s about it
1295,awesome
5998,muy pequeño
7036,year old loves these
4808,nice
4715,reliable running shoe
4562,great running shoe
7099,great looks
3391,good all around tennis shoe at a great price
4677,nice for walks or run
645,color is not like the picture
5271,a little hard to get on but worth the effort
5957,way too tight
4324,not as expected
4498,positive reviews are true
3694,super great value
4824,good for high arches
7985,comfortable and protective
6518,i d rather run barefoot
5437,best sneakers ever
1338,can’t go wrong
7827,very supportive and non slip excellent for my work in pizza kitchen
626,size changes each time you order avoid
7756,so light and comfortable
7601,received wrong product
1474,awful
7324,order a size bigger
8434,support
4702,very comfortable
3017,normal size too small
3479,very cool sneakers
6658,you get what you pay for
2955,for color go by the picture online
7391,five stars
3039,the sewing around the tow comes loose
5814,nice for women who don t have big feet
507,weirdly built and not true adidas cloudfoam
794,knockoff these are not made by adidas
1452,they fit perfect and feel great
3210,comfort and support
4083,shoe
8574,asics men s gel venture trail running shoes
8211,venture is cheap version of venture
2755,great comfortable
3454,fantastic running shoe
974,not typical adidas quality
6905,really bad quality product
3510,puma tazon
5122,stylish comfortable stay true to size
4413,your joints will thank you
7247,perfect
2557,comfy shoe
1706,comfortable and light for k walking
8168,pretty nice shoe for the price
8599,not true to size
4473,always a good buy
6464,shoes
2934,i am an asics fan but
5496,buy them
3562,amazing product well worth the money
2300,very little cushion
5870,fits to size everyone at work loves them
1395,nice shoes
1129,gotta love the name brand
7073,great shoe east to clean
7973,great shoe for the price
4729,coast with ghost
2692,airy
